kalfirvach,concepto,pos,categoria,ipa,lengua_origen,raiz_original
kesh,"alguien (indefinido, persona no especificada)",pronoun,Pronombres Y Deicticos,/ˈkeʃ/,Sánscrito Védico / Persa Avéstico / Griego Koiné,kaścit 'alguien' (Skt) / kō 'alguien' (Av) / τίς (tís) 'alguien' (Gr)
kima,"qué/cuál (interrogativo, cosa o cualidad)",pronoun,Pronombres Y Deicticos,/ˈki.ma/,Sánscrito Védico / Griego Koiné / Árabe esotérico,kim 'qué' (Skt) / τί (tí) 'qué' (Gr) / mā 'qué' (Ar)
kuda,"dónde (interrogativo, lugar)",pronoun,Pronombres Y Deicticos,/ˈku.da/,Sánscrito Védico / Griego Koiné / Tibetano Clásico,"kutra 'dónde' (Skt) / ποῦ (poû) 'dónde' (Gr) / gaṅ 'dónde' (Tib, adaptado)"
kuta,"por qué (interrogativo, causa o razón)",pronoun,Pronombres Y Deicticos,/ˈku.ta/,Sánscrito Védico / Griego Koiné / Tibetano Clásico,"kutah 'por qué' (Skt) / διά τί (diá tí) 'por qué' (Gr) / ci 'por qué' (Tib, adaptado)"
naka,"nadie (indefinido negativo, persona alguna)",pronoun,Pronombres Y Deicticos,/ˈna.ka/,Sánscrito Védico / Persa Avéstico / Árabe esotérico,na kaścit 'nadie' (Skt) / na 'no' (Av) / lā 'no' (Ar)
sarwa,todo,pronoun,Pronombres Y Deicticos,/ˈsa.rwa/,Sánscrito Védico / Persa Avéstico / Griego Koiné / Persa Avéstico,sarva 'todo' / haurva- 'entero' / ὅλος (hólos) 'todo entero' / sara 'totalidad'
tara,alli/ahi,pronoun,Pronombres Y Deicticos,/ˈta.ra/,Sánscrito Védico / Persa Avéstico / Griego Koiné,tatra 'allí' / tara 'allí' / ἐκεῖ (ekeî) 'allí'
aj,él/ella (3ª persona singular cortés),pronoun,Pronombres Y Deicticos,/ˈaʒ/,Gramática KFA §3.7.1,Pronombre cortés 3sg del sistema KFA
az,yo (1ª persona singular hierático),pronoun,Pronombres Y Deicticos,/ˈaz/,Gramática KFA §3.7.1,"Pronombre hierático 1sg del sistema KFA, registro sagrado"
bahi,"fuera, afuera (adverbio locativo)",adverb,Pronombres Y Deicticos,/ˈba.hi/,Gramática KFA §3.10.3,"Adverbio locativo: 'fuera, afuera, en el exterior'"
dwika,"ambos, los dos (numeral indefinido dual)",pronoun,Pronombres Y Deicticos,/ˈdwi.ka/,Gramática KFA §3.14.4,"dvi (dos) + -ka → 'ambos, los dos'"
e,"un, una (artículo indefinido singular)",determiner,Pronombres Y Deicticos,/ˈe/,Gramática KFA §1.2.1,Artículo indefinido singular del sistema KFA
en,"unos, unas (artículo indefinido plural)",determiner,Pronombres Y Deicticos,/ˈen/,Gramática KFA §1.2.1,"Artículo indefinido plural del sistema KFA, e + -n"
ha,"el, la (artículo definido singular)",determiner,Pronombres Y Deicticos,/ˈha/,Gramática KFA §1.2.1,Artículo definido singular del sistema KFA
han,"los, las (artículo definido plural)",determiner,Pronombres Y Deicticos,/ˈhan/,Gramática KFA §1.2.1,"Artículo definido plural del sistema KFA, ha + -n"
hu,él divino (3ª persona singular hierático),pronoun,Pronombres Y Deicticos,/ˈhu/,Gramática KFA §3.7.1,"Pronombre hierático 3sg del sistema KFA, para deidades"
ka,ello/eso (3ª persona singular inanimado / distante),pronoun,Pronombres Y Deicticos,/ˈka/,Gramática KFA §3.7,Pronombre personal paradigmático 3sg inanimado del sistema KFA
ka,"aquel, aquella (demostrativo distal, determinante)",determiner,Pronombres Y Deicticos,/ˈka/,Gramática KFA §3.8,"Raíz demostrativa distal ka, como determinante ('aquel árbol')"
kan,ellos/esas (3ª persona plural inanimado),pronoun,Pronombres Y Deicticos,/ˈkan/,Gramática KFA §3.7,"Pronombre personal paradigmático 3pl inanimado del sistema KFA, ka + -n plural"
kana,"allá, por allá (demostrativo locativo distal)",adverb,Pronombres Y Deicticos,/ˈka.na/,Gramática KFA §3.10.3,ka (demostrativo distal) + -na (locativo) → 'allá'
kim,"qué (interrogativo, cosa)",pronoun,Pronombres Y Deicticos,/ˈkim/,Gramática KFA §3.8,"Raíz interrogativa kím para cosa ('qué'), forma breve"
kimhi,"todo, cada cosa (universal positivo, cosa)",pronoun,Pronombres Y Deicticos,/ˈkim.hi/,Gramática KFA §3.14,"kím (qué) + -hi → cada cosa, todo (universal positivo)"
kimka,"algo (indefinido afirmativo, cosa)",pronoun,Pronombres Y Deicticos,/ˈkim.ka/,Gramática KFA §3.14,kím (qué) + -ka → algo (cosa indefinida afirmativa)
kimna,"nada (indefinido negativo, cosa)",pronoun,Pronombres Y Deicticos,/ˈkim.na/,Gramática KFA §3.14,kím (qué) + -na → nada (cosa indefinida negativa)
kimnhi,"ninguna cosa (universal negativo, cosa)",pronoun,Pronombres Y Deicticos,/ˈkim.nhi/,Gramática KFA §3.14,kím (qué) + -nhi → ninguna cosa (universal negativo para cosa)
kwa,"quién (interrogativo, persona)",pronoun,Pronombres Y Deicticos,/ˈkwa/,Gramática KFA §3.8,Raíz interrogativa kwa para persona ('quién')
kwadin,"cuándo (interrogativo, tiempo; kwa + dín)",interrogative,Pronombres Y Deicticos,/ˈkwa.din/,Gramática KFA §3.8,kwa (quién) + dín (día/tiempo) → 'cuándo'
kwahi,"cada uno, cualquiera (universal positivo, persona)",pronoun,Pronombres Y Deicticos,/ˈkwa.hi/,Gramática KFA §3.14,kwa (quién) + -hi → cada uno (distributivo universal positivo)
kwaka,"cómo (interrogativo, modo; kwa + -ka instrumental)",interrogative,Pronombres Y Deicticos,/ˈkwa.ka/,Gramática KFA §3.8,kwa (quién) + -ka (instrumental) → 'cómo'
kwaka,"alguien (indefinido afirmativo, persona)",pronoun,Pronombres Y Deicticos,/ˈkwa.ka/,Gramática KFA §3.14,"kwa (quién) + -ka → alguien, alguien (persona indefinida afirmativa)"
kwakar,"por qué (interrogativo, causa; kwa + kar)",interrogative,Pronombres Y Deicticos,/ˈkwa.kar/,Gramática KFA §3.8,kwa (quién) + kar (causa) → 'por qué'
kwana,"dónde (interrogativo, lugar; kwa + -na locativo)",interrogative,Pronombres Y Deicticos,/ˈkwa.na/,Gramática KFA §3.8,kwa (quién) + -na (locativo) → 'dónde'
kwana,"nadie (indefinido negativo, persona)",pronoun,Pronombres Y Deicticos,/ˈkwa.na/,Gramática KFA §3.14,kwa (quién) + -na → nadie (persona indefinida negativa)
kwana,"dónde (interrogativo, variante locativa)",interrogative,Pronombres Y Deicticos,/ˈkwa.na/,Gramática KFA §3.10.3,kwa (interrogativo) + -na (locativo) → 'dónde' (variante)
kwanhi,"ninguno (universal negativo, persona)",pronoun,Pronombres Y Deicticos,/ˈkwa.nhi/,Gramática KFA §3.14,kwa (quién) + -nhi → ninguno (universal negativo para persona)
kwath,"cuál (interrogativo, selectivo; kwa + -th)",interrogative,Pronombres Y Deicticos,/ˈkwaθ/,Gramática KFA §3.8,kwa (quién) + -th (selectivo) → 'cuál'
ma,yo (1ª persona singular),pronoun,Pronombres Y Deicticos,/ˈma/,Gramática KFA §3.7,Pronombre personal paradigmático 1sg del sistema KFA
man,nosotros (1ª persona plural),pronoun,Pronombres Y Deicticos,/ˈman/,Gramática KFA §3.7,"Pronombre personal paradigmático 1pl del sistema KFA, ma + -n plural"
mu,"todo (cuantificador universal, totalidad)",determiner,Pronombres Y Deicticos,/ˈmu/,Gramática KFA §1.2,"Cuantificador universal: 'todo, cada' — del sistema gramatical KFA"
para,"más (que), comparativo de superioridad",particle,Pronombres Y Deicticos,/ˈpa.ra/,Gramática KFA §1.6,Partícula comparativa de superioridad: 'más (que)'
sa,él/ella (3ª persona singular animado),pronoun,Pronombres Y Deicticos,/ˈsa/,Gramática KFA §3.7,Pronombre personal paradigmático 3sg animado del sistema KFA
san,ellos/ellas (3ª persona plural animado),pronoun,Pronombres Y Deicticos,/ˈsan/,Gramática KFA §3.7,"Pronombre personal paradigmático 3pl animado del sistema KFA, sa + -n plural"
sara,"todo (colectivo singular, totalidad como conjunto)",pronoun,Pronombres Y Deicticos,/ˈsa.ra/,Gramática KFA §3.14.4,Colectivo singular: 'todo' como conjunto unificado
swa,"mismo, propio (reflexivo enfático)",particle,Pronombres Y Deicticos,/ˈswa/,Gramática KFA §3.13,"Partícula reflexiva enfática: 'mismo, propio'"
ta,tú/vos (2ª persona singular),pronoun,Pronombres Y Deicticos,/ˈta/,Gramática KFA §3.7,Pronombre personal paradigmático 2sg del sistema KFA
ta,"este, esta (demostrativo proximal, determinante)",determiner,Pronombres Y Deicticos,/ˈta/,Gramática KFA §3.8,"Raíz demostrativa proximal ta, como determinante ('este árbol')"
tan,vosotros/ustedes (2ª persona plural),pronoun,Pronombres Y Deicticos,/ˈtan/,Gramática KFA §3.7,"Pronombre personal paradigmático 2pl del sistema KFA, ta + -n plural"
tana,"acá, por acá (demostrativo locativo proximal)",adverb,Pronombres Y Deicticos,/ˈta.na/,Gramática KFA §3.10.3,ta (demostrativo proximal) + -na (locativo) → 'acá'
thum,tú (2ª persona singular hierático),pronoun,Pronombres Y Deicticos,/ˈθum/,Gramática KFA §3.7.1,"Pronombre hierático 2sg del sistema KFA, registro sagrado"
tum,tú/usted (2ª persona singular cortés),pronoun,Pronombres Y Deicticos,/ˈtum/,Gramática KFA §3.7.1,Pronombre cortés 2sg del sistema KFA
bījbāb,"semilla, nombre esencial (capa I)",particle,Onomastica,/ˈbiːj.baːb/,Sánscrito Védico / Árabe esotérico / Tibetano Clásico,"बीज bīja ""semilla, germen"" (Skt) / بذر badhr ""semilla"" (Ar) / ས་བོན sa bon ""semilla"" (Tib)"
gupēš,"oculto, criptónimo, nombre cifrado (capa IV)",particle,Onomastica,/guˈpeːʃ/,Sánscrito Védico / Copto Sahídico / Árabe esotérico,"गुप्त gupta ""oculto, secreto"" (Skt) / ⲃⲏϣ bēš ""oculto"" (Cop) / غيب ghayb ""oculto, invisible"" (Ar)"
nūm,"forma del nombre, nombre personal (capa II)",particle,Onomastica,/ˈnuːm/,Persa Avéstico / Egipcio Demótico,nām/nm
samanfīš,"función, oficio mágico, título (capa III)",particle,Onomastica,/saˈman.fiːʃ/,Sánscrito Védico / Árabe esotérico / Persa,"समन्त samanta ""función, oficio"" (Skt) / وظيفة waẓīfa ""función, oficio"" (Ar) / پیشه pīshe ""oficio, profesión"" (Pers)"
samanta,"función, oficio mágico, título (capa III)",particle,Onomastica,/ˈsa.man.ta/,Sánscrito Védico / Persa Avéstico,samanta/samana-
bīj,"semilla, nombre esencial (capa I)",particle,Onomastica,/ˈbiːj/,Sánscrito Védico / Tibetano Clásico,bīja/sa-bon
gup,"oculto, criptónimo, nombre cifrado (capa IV)",particle,Onomastica,/ˈgup/,Sánscrito Védico / Árabe esotérico,gupta/sirr
ashōk,ocho,numeral,Numeros,/aʃˈtoːk/,Sánscrito Védico / Griego Koiné / Persa,"अष्ट aṣṭa ""ocho"" (Skt) / ὀκτώ oktō ""ocho"" (Gr) / هشت hasht ""ocho"" (Pers)"
dashak,diez,numeral,Numeros,/ˈda.ʃak/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"दश daśa ""diez"" (Skt) / dah ""diez"" (Pers) / δέκα deka ""diez"" (Gr)"
dvi,dos,numeral,Numeros,/ˈdwi/,Sánscrito Védico / Persa Avéstico / Griego Koiné,dvi/dva/dýo
ekami,uno,numeral,Numeros,/ˈe.ka.mi/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"एक eka ""uno"" (Skt) / yek ""uno"" (Pers) / μία mia ""una"" (Gr, fem.)"
hasarak,mil,numeral,Numeros,/ˈha.sa.rak/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"सहस्र sahasra ""mil"" (Skt) / هزار hazār ""mil"" (Pers /z/→/s/) / χιλιάς chilias ""un millar"" (Gr)"
navan,nueve,numeral,Numeros,/ˈna.van/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"नवन् navan ""nueve"" (Skt) / نُه noh ""nueve"" (Pers) / ἐννέα ennea ""nueve"" (Gr)"
páncha,cinco,numeral,Numeros,/ˈpan.tʃa/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"पञ्चन् pañcan ""cinco"" (Skt) / پنج panj ""cinco"" (Pers /dʒ/→/tʃ/) / πέντε pente ""cinco"" (Gr)"
sapta,siete,numeral,Numeros,/ˈsap.ta/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"सप्तन् saptan ""siete"" (Skt) / هفت haft ""siete"" (Pers) / ἑπτά hepta ""siete"" (Gr)"
shashak,seis,numeral,Numeros,/ˈʃa.ʃak/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"षष् ṣaṣ ""seis"" (Skt /ʂ/→/ʃ/) / شش shesh ""seis"" (Pers) / ἕξ hex ""seis"" (Gr)"
shatak,cien,numeral,Numeros,/ˈʃa.tak/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"शत śata ""cien"" (Skt) / صد sad ""cien"" (Pers) / ἑκατόν hekaton ""cien"" (Gr)"
tiri,tres,numeral,Numeros,/ˈti.ri/,Sánscrito Védico / Persa Avéstico / Griego Koiné,tri/θri/treîs
chatur,cuatro,numeral,Numeros,/ˈtʃa.tur/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"चतुर् catur ""cuatro"" (Skt) / چهار chahār ""cuatro"" (Pers) / τέσσαρες tessares ""cuatro"" (Gr)"
pashcha,último/a (ordinal irregular),numeral,Numeros,/ˈpaʃ.tʃa/,Gramática KFA §3.5,Ordinal: 'último/a' — forma irregular
purwa,"primero/a (ordinal irregular, variante culta)",numeral,Numeros,/ˈpur.wa/,Gramática KFA §3.5,Ordinal: 'primero/a' — forma irregular culta
sunya,"cero (0), vacío numeral",numeral,Numeros,/ˈsun.ja/,Gramática KFA §3.5,Cero — del sistema numeral KFA como categoría léxica
álpamīk,pequeno,adjective,Dimensiones Y Adjetivos,/ˈal.pa.miːk/,Sánscrito Védico / Griego Koiné / Árabe esotérico,"अल्प alpa ""pequeño"" (Skt) / μικρός mikros ""pequeño"" (Gr) / صغير ṣaghīr ""pequeño"" (Ar)"
amik,profundo,adjective,Dimensiones Y Adjetivos,/ˈa.mik/,Árabe esotérico / Persa Avéstico,ʿamīq 'profundo' + amiq 'profundo'
bati,lento,adjective,Dimensiones Y Adjetivos,/ˈba.ti/,Árabe esotérico / Egipcio Demótico,baṭī' 'lento' + bṯ 'pesado/lento'
dirmās,largo,adjective,Dimensiones Y Adjetivos,/dirˈmaːs/,Sánscrito Védico / Griego Koiné / Persa,"दीर्घ dīrgha ""largo"" (Skt) / μακρός makros ""largo, grande"" (Gr) / دراز darāz ""largo"" (Pers)"
fash,tibio,adjective,Dimensiones Y Adjetivos,/ˈfaʃ/,Egipcio Demótico / Árabe esotérico,fš 'caliente/tibio' + fāshir 'tibio'
forfir,"púrpura, violeta, magenta",adjective,Dimensiones Y Adjetivos,/ˈfor.fir/,Griego Koiné / Árabe esotérico,πορφύρα (porphýra) 'púrpura real' / أرجوان (ʾurjuwān) 'púrpura'
garūk,pesado,adjective,Dimensiones Y Adjetivos,/gaˈruːk/,Sánscrito Védico / Griego Koiné / Árabe esotérico,"गुरु guru ""pesado"" (Skt) / βαρύς barys ""pesado"" (Gr) / وقر waqar ""peso"" (Ar)"
hérpras,"verde, vegetal, viridiano",adjective,Dimensiones Y Adjetivos,/ˈher.pras/,Sánscrito Védico / Griego Koiné / Persa,"हरित harita ""verde"" (Skt) / πράσινος prasinos ""verde"" (Gr) / سبز sabz ""verde"" (Pers)"
jadit,nuevo (novel),adjective,Dimensiones Y Adjetivos,/ˈja.dit/,Árabe esotérico / Persa Avéstico,jadīd 'nuevo' + naw 'nuevo'
krismat,"negro, oscuro, tenebroso",adjective,Dimensiones Y Adjetivos,/ˈkris.mat/,Sánscrito Védico / Griego Koiné / Árabe esotérico,"कृष्ण kṛṣṇa ""negro, oscuro"" (Skt) / μέλας melas ""negro"" (Gr) / أسود aswad ""negro"" (Ar)"
khal,vacío,adjective,Dimensiones Y Adjetivos,/ˈxal/,Árabe esotérico / Persa Avéstico,khalā' 'vacío' + xālī 'vacío'
khap,oscuro,adjective,Dimensiones Y Adjetivos,/ˈxap/,Árabe esotérico / Egipcio Demótico,khafī' 'oculto/oscuro' + ḫf 'tinieblas'
khar,caliente,adjective,Dimensiones Y Adjetivos,/ˈxar/,Egipcio Demótico / Griego Koiné,ḥr 'caliente' + thermós 'caliente'
khushk,seco,adjective,Dimensiones Y Adjetivos,/ˈxuʃk/,Persa Avéstico / Árabe esotérico,xušk 'seco' + jāḥish 'seco'
mal,lleno,adjective,Dimensiones Y Adjetivos,/ˈmal/,Árabe esotérico / Persa Avéstico,mala'a 'llenar' + pur 'lleno' → mal
nakhzir,brillante,adjective,Dimensiones Y Adjetivos,/ˈnax.zir/,Persa Avéstico / Árabe esotérico,nax 'brillante' + zāhir 'resplandeciente'
narin,"naranja, anaranjado, azafranado",adjective,Dimensiones Y Adjetivos,/ˈna.rin/,Persa Avéstico / Sánscrito Védico / Árabe esotérico,نارنج (nārenj) 'naranja' / नारङ्ग (nāraṅga) 'naranjo' / نارنج (nāranj)
narm,suave (tacto),adjective,Dimensiones Y Adjetivos,/ˈnarm/,Persa Avéstico / Árabe esotérico,narm 'suave'
nil,"azul, añil, índigo",adjective,Dimensiones Y Adjetivos,/ˈnil/,Sánscrito Védico / Persa Avéstico / Árabe esotérico,नील (nīla) 'azul' / نیل (nil) 'azul' / نيل (nīl) 'índigo'
palimāt,"gris, ceniciento, plomizo",adjective,Dimensiones Y Adjetivos,/pa.liˈmaːt/,Sánscrito Védico / Griego Koiné / Árabe esotérico,"पलित palita ""gris, canoso"" (Skt) / πολιός polios ""gris"" (Gr) / رمادي ramādī ""gris, ceniciento"" (Ar)"
pashxār,último/final (ordinal irregular),adjective,Dimensiones Y Adjetivos,/paʃˈxaːr/,Sánscrito Védico / Griego Koiné / Persa,"पश्च paśca ""detrás, último"" (Skt) / ἔσχατος eskhatos ""último, final"" (Gr) / آخر ākhar ""último, final"" (Pers)"
prathi,ancho,adjective,Dimensiones Y Adjetivos,/ˈpra.tʰi/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"पृथु pṛthu ""ancho, amplio"" (Skt) / فراخ farākh ""ancho, espacioso"" (Pers) / πλατύς platys ""ancho, llano"" (Gr)"
purwa,primero/primordial (ordinal irregular),adjective,Dimensiones Y Adjetivos,/ˈpu.rwa/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"पूर्व pūrva ""primero, anterior"" (Skt) / پرو parv ""primero, inicial"" (Pers) / πρῶτος prōtos ""primero"" (Gr)"
rasak,corto,adjective,Dimensiones Y Adjetivos,/ˈra.sak/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"ह्रस्व hrasva ""corto"" (Skt) / رس ras ""breve, corto"" (Pers) / βραχύς brachýs ""corto, breve"" (Gr)"
rik,grande,adjective,Dimensiones Y Adjetivos,/ˈrik/,Sánscrito Védico / Griego Koiné,riktha? No... / orikos? Lit. ryk? persa
rohik,"rojo, escarlata, bermellón",adjective,Dimensiones Y Adjetivos,/ˈro.hik/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"रोहित rohita ""rojo"" (Skt) / 𐬭𐬀𐬊𐬜𐬌𐬙𐬀 raoδita ""rojo"" (Pers) / ἐρυθρός erythrós ""rojo"" (Gr)"
sakhat,duro,adjective,Dimensiones Y Adjetivos,/ˈsa.xat/,Persa Avéstico / Árabe esotérico,saxt 'duro' + shadīd 'fuerte'
sanhusk,estrecho,adjective,Dimensiones Y Adjetivos,/ˈsan.husk/,Sánscrito Védico / Griego Koiné / Árabe esotérico,"संहु saṃhu ""estrecho, contraído"" (Skt) / στενός stenos ""estrecho"" (Gr) / ضيق ḍayyiq ""estrecho"" (Ar)"
sari,rápido,adjective,Dimensiones Y Adjetivos,/ˈsa.ri/,Árabe esotérico / Persa Avéstico,sarī' 'rápido' + sare' 'rápido'
sarnas,"dorado, áureo, reluciente como el oro",adjective,Dimensiones Y Adjetivos,/ˈsaɾ.nas/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"स्वर्ण svarṇa ""oro, dorado"" (Skt) / 𐬰𐬀𐬭𐬀𐬥𐬀 zarana ""oro, dorado"" (Pers) / χρυσός chrysós ""oro, dorado"" (Gr)"
sart,frío,adjective,Dimensiones Y Adjetivos,/ˈsart/,Persa Avéstico / Árabe esotérico,sard 'frío' + sārid 'frío'
sas,superficial,adjective,Dimensiones Y Adjetivos,/ˈsas/,Árabe esotérico / Egipcio Demótico,sath 'superficie' + st 'lugar/plano'
sat,recto,adjective,Dimensiones Y Adjetivos,/ˈsat/,Egipcio Demótico / Árabe esotérico,sḏ 'recto' + sadd 'recto'
sofar,"amarillo, dorado, áureo",adjective,Dimensiones Y Adjetivos,/ˈso.far/,Árabe esotérico / Griego Koiné,"صفر (ṣafr) 'amarillo' / χλωρός (khlōrós) 'verde claro, amarillo'"
shap,joven,adjective,Dimensiones Y Adjetivos,/ˈʃap/,Árabe esotérico / Persa Avéstico,shābb 'joven' + jawān 'joven'
shirin,dulce,adjective,Dimensiones Y Adjetivos,/ˈʃi.rin/,Persa Avéstico / Árabe esotérico,šīrīn 'dulce' + ḥulw 'dulce'
shwet,"blanco, claro, puro",adjective,Dimensiones Y Adjetivos,/ˈʃwet/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"श्वेत śveta ""blanco, puro"" (Skt) / 𐬯𐬞𐬀𐬈𐬙𐬀 spaeta ""blanco"" (Pers) / λευκός leukós ""blanco, claro"" (Gr)"
takh,mojado,adjective,Dimensiones Y Adjetivos,/ˈtax/,Persa Avéstico / Árabe esotérico,taḵ 'mojado' + takhkh 'humedad'
talakh,amargo,adjective,Dimensiones Y Adjetivos,/ˈta.lax/,Árabe esotérico / Persa Avéstico,talakh 'amargo' + talx 'amargo'
tamkas,"marrón, pardo, castaño",adjective,Dimensiones Y Adjetivos,/ˈtam.kas/,Sánscrito Védico / Árabe esotérico / Griego Koiné,"ताम्र tāmra ""cobre, rojizo"" (Skt) / تَمْر tamr ""dátil, marrón"" (Ar) / καστανός kastanos ""castaño, marrón"" (Gr)"
tanuf,delgado/flaco,adjective,Dimensiones Y Adjetivos,/ˈta.nuf/,Sánscrito Védico / Griego Koiné / Árabe esotérico,"तनु tanu ""delgado, flaco"" (Skt) / λεπτός leptos ""delgado, fino"" (Gr) / نَحِيف naḥīf ""delgado, flaco"" (Ar)"
thul,gordo/grueso,adjective,Dimensiones Y Adjetivos,/ˈθul/,Sánscrito Védico / Griego Koiné / Árabe esotérico,"स्थूल sthūla ""grueso, gordo"" (Skt) / στερεός stereos ""sólido, macizo"" (Gr) / سَمِيك samīk ""grueso, espeso"" (Ar)"
wart,"rosa, rosado, rosáceo",adjective,Dimensiones Y Adjetivos,/ˈwart/,Árabe esotérico / Persa Avéstico,"ورد (ward) 'rosa, color rosa' / ورد (ward) 'rosa'"
zat,curvo/torcido,adjective,Dimensiones Y Adjetivos,/ˈzat/,Persa Avéstico / Árabe esotérico,zad 'curvo/torcido' + izdiwāj 'curvatura'
qadim,viejo (antiguo),adjective,Dimensiones Y Adjetivos,/ˈka.dim/,Árabe esotérico / Persa Avéstico,qadīm 'antiguo' + kuhan 'viejo'
sotambido,firme,noun,Dimensiones Y Adjetivos,/so.tam.ˈbi.do/,Ancient Greek / Arabic / Persian / Sanskrit,Sanskrit: स्थिर (sthira) / Persian: ثابت (sābet / sabet) / Arabic: صَامِد (ṣāmid) / Ancient Greek: βέβαιος (bebaios)
adar,cuñado,noun,Personas Y Parentesco,/ˈa.dar/,Persa Avéstico / Egipcio Demótico,qāda- 'pariente político' / sn ḥmt 'hermano de esposa'
adarī,cuñada,noun,Personas Y Parentesco,/ˈa.da.riː/,Persa Avéstico / Egipcio Demótico,qāda-ī 'cuñada' / snt ḥmt 'hermana de esposa'
adelp,hermana,noun,Personas Y Parentesco,/ˈa.delp/,Griego Koiné / Persa Avéstico,ἀδελφή 'hermana' / ahā- 'hermano'
adelpmas,hermana mayor,noun,Personas Y Parentesco,/a.ˈdelp.mas/,Griego Koiné / Persa Avéstico,ἀδελφή + μείζων / brātar-ī + mazant-
adelpnap,hermana menor,noun,Personas Y Parentesco,/a.ˈdelp.nap/,Griego Koiné / Persa Avéstico,ἀδελφή + νεώτερος / brātar-ī + nava-
afrat,hermano,noun,Personas Y Parentesco,/ˈa.frat/,Persa Avéstico / Griego Koiné,brātar- 'hermano' / ἀδελφός 'hermano'
afratmas,hermano mayor,noun,Personas Y Parentesco,/a.ˈfrat.mas/,Persa Avéstico / Griego Koiné,brātar- + mazant- 'grande' / μείζων (meizōn) 'mayor'
afratnap,hermano menor,noun,Personas Y Parentesco,/a.ˈfrat.nap/,Persa Avéstico / Griego Koiné,"brātar- + nava- 'nuevo, joven' / νεώτερος 'más joven'"
anepas,primo,noun,Personas Y Parentesco,/ˈa.ne.pas/,Griego Koiné / Egipcio Demótico,ἀνεψιός (anepsios) 'primo' / sn 'primo'
archit,ancestro,noun,Personas Y Parentesco,/ˈar.tʃit/,Griego Koiné / Egipcio Demótico,"ἀρχηγός (archēgos) 'ancestro, fundador' / sꜣ-ḥꜣ 'ancestro'"
bafilp,nino/criatura,noun,Personas Y Parentesco,/ˈba.filp/,Sánscrito Védico / Árabe esotérico / Griego Koiné,"बाल bāla ""niño, joven"" (Skt) / طفل ṭifl ""niño, infante"" (Ar) / παῖς pais ""niño"" (Gr)"
